date,sigma_median,loc5y_median,inverted,neg_fwd,n
2006,3.6518,0.8595,0.2885,0.0,52
2007,4.313,0.818,0.3077,0.0,52
2008,2.3693,1.0462,0.0,0.0769,52
2009,0.7492,2.7931,0.0,0.0192,52
2010,0.4844,3.9312,0.0,0.0,52
2011,0.4661,4.0338,0.0,0.0385,52
2012,0.6371,3.2027,0.0,0.0189,53
2013,0.4042,4.406,0.0,0.0385,52
2014,0.5481,3.6008,0.0,0.0577,52
2015,1.1152,1.9315,0.0,0.2115,52
2016,1.4464,1.5164,0.0,0.0,52
2017,1.4804,1.4855,0.0,0.0,53
2018,1.5747,1.408,0.0,0.0,52
2019,3.0317,0.9238,0.0769,0.0,52
2020,1.0302,2.0844,0.0,0.0192,52
2021,0.5346,3.6678,0.0,0.0192,52
2022,2.1894,1.0993,0.0962,0.0,52
2023,2.1383,1.115,0.9811,0.0,53
2024,1.5437,1.4321,0.9423,0.0,52
2025,1.9972,1.1684,0.0,0.0,52
2026,1.5613,1.4182,0.0,0.0,21
